品种：苹果AP     日期：2021-04-06,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
名次,会员简称,持买仓量,增减量,会员简称,持卖仓量,增减量
1,永安期货,"18,636","1,853",徽商期货,"20,419",876
2,海通期货,"18,317",81,国泰君安,"19,409","2,966"
3,华泰期货,"17,174",560,鲁证期货,"18,335",-812
4,中信期货,"17,090",-280,方正中期,"17,044",-267
5,方正中期,"16,716","1,873",海通期货,"17,039","1,122"
6,国泰君安,"16,444",484,中信期货,"16,971","1,255"
7,申银万国,"16,142","1,183",银河期货,"16,068","2,204"
8,徽商期货,"15,704",835,华安期货,"15,603",-411
9,银河期货,"13,864",934,光大期货,"15,526","2,037"
10,光大期货,"13,694","1,351",永安期货,"15,210",-128
11,一德期货,"13,507",796,华泰期货,"14,411","1,250"
12,东证期货,"13,008",-811,招金期货,"13,899",337
13,宏源期货,"12,181","1,142",宏源期货,"13,811","1,377"
14,鲁证期货,"10,767",816,东证期货,"13,354",727
15,华安期货,"10,608",719,国富期货,"11,921",872
16,中辉期货,"9,805",987,海证期货,"11,571",-231
17,南华期货,"9,773",665,倍特期货,"11,505","1,376"
18,东吴期货,"9,672","1,071",中辉期货,"11,235",185
19,浙商期货,"9,643",617,一德期货,"10,865",-663
20,中大期货,"9,497",267,中信建投,"10,355",378
合计,,"272,242","15,143",,"294,551","14,450"
品种：棉花CF     日期：2021-04-06,,,,,,
名次,会员简称,持买仓量,增减量,会员简称,持卖仓量,增减量
1,永安期货,"68,326",899,中信期货,"65,597","-6,782"
2,银河期货,"51,791",988,东证期货,"48,128",-10
3,东证期货,"47,745","-3,120",国投安信期货,"43,803","1,227"
4,长江期货,"30,281",-116,国泰君安,"41,126","2,959"
5,中信期货,"28,335",-928,中粮期货,"38,440","2,131"
6,中粮期货,"25,724",584,华融融达期货,"33,006",514
7,申银万国,"23,985",-273,中国国际,"32,928",406
8,五矿经易期货,"23,937",-394,银河期货,"32,768",445
9,国泰君安,"22,616","1,176",永安期货,"29,763",-60
10,南华期货,"19,554",-138,新湖期货,"27,403",627
11,国投安信期货,"19,476",-493,长江期货,"25,911",-157
12,华融融达期货,"19,157","-1,047",国贸期货,"20,417",-126
13,浙商期货,"12,900","-1,168",信达期货,"14,712",-27
14,宏源期货,"12,758",160,大有期货,"12,526",-12
15,海通期货,"11,498","1,780",华泰期货,"11,914",-560
16,信达期货,"10,656",54,海通期货,"11,068",-228
17,兴证期货,"10,420","-1,208",瑞达期货,"8,841",-228
18,中辉期货,"9,606","1,289",格林大华期货,"8,769",-78
19,方正中期,"9,575",567,兴证期货,"8,206",-458
20,华泰期货,"8,938","-1,231",中大期货,"8,183",143
合计,,"467,278","-2,619",,"523,509",-274
品种：红枣CJ     日期：2021-04-06,,,,,,
名次,会员简称,持买仓量,增减量,会员简称,持卖仓量,增减量
1,华泰期货,"3,085",232,中信期货,"3,454",27
2,中信期货,"2,741",35,五矿经易期货,"1,735",151
3,中辉期货,"1,702",-3,永安期货,"1,497",45
4,东航期货,"1,643",81,华泰期货,"1,489",-79
5,光大期货,791,-103,宏源期货,"1,058",106
6,国投安信期货,710,-95,华闻期货,837,634
7,长江期货,648,-24,中辉期货,796,-103
8,海证期货,634,-55,国泰君安,785,32
9,永安期货,633,57,方正中期,685,245
10,云财富期货,628,0,海证期货,682,27
11,一德期货,601,-127,一德期货,665,-8
12,迈科期货,562,42,东证期货,592,-46
13,五矿经易期货,561,-2,金元期货,566,-110
14,银河期货,559,-33,云财富期货,560,0
15,鲁证期货,549,9,国投安信期货,558,135
16,国泰君安,528,41,新湖期货,541,40
